file,segment,max_freq,amplitude,zcr,rms,freq,freq_loc
G0_P1_case_perfect.mat,1,41.6,0.00898844418786935,0.1575,0.0276447882591856,0,0
G0_P1_case_perfect.mat,2,42.4,0.00608838313592551,0.165,0.0103223113102075,0,0
G0_P1_case_perfect.mat,3,32.8,0.0032419057392297,0.1525,0.00662057940180271,0,0
G0_P1_case_perfect.mat,4,41.6,0.00505156843589229,0.155833333333333,0.00966417896685057,0,0
G0_P1_case_perfect.mat,5,41.6,0.00601666443244025,0.160833333333333,0.0136524644995919,0,0
G0_P1_case_perfect.mat,6,38.8,0.00895059542558372,0.160833333333333,0.0132758304909206,0,0
G0_P1_case_perfect.mat,7,37.2,0.00675543532773385,0.153333333333333,0.00729636878079998,0,0
G0_P1_case_perfect.mat,8,32.4,0.00273475924458468,0.145833333333333,0.00743038084864971,0,0
G0_P1_case_perfect.mat,9,32.8,0.00899600006374124,0.160833333333333,0.0179365380689461,0,0
G0_P1_case_perfect.mat,10,29.6,0.005356822944296,0.150833333333333,0.0130020003027425,0,0
G0_P1_case_perfect.mat,11,34.4,0.0066145636966318,0.1625,0.0130348881061271,0,0
G0_P1_case_perfect.mat,12,33.2,0.00474123471120758,0.145,0.00865651482259133,0,0
G0_P1_case_perfect.mat,13,33.2,0.00481517648122647,0.155833333333333,0.00803616698902545,0,0
G0_P1_case_perfect.mat,14,38.8,0.00804784439937232,0.155833333333333,0.00955648206239378,0,0
G0_P1_case_perfect.mat,15,41.2,0.0117657008065664,0.156666666666667,0.0197108481315252,0,0
G0_P1_case_perfect.mat,16,37.6,0.00242669720669287,0.148333333333333,0.00549833921643172,0,0
G0_P1_case_perfect.mat,17,32.4,0.00354089253129003,0.150833333333333,0.00680220700877379,0,0
G0_P1_case_perfect.mat,18,38.4,0.0034101861021878,0.1525,0.00644019638443581,0,0
G0_P1_case_perfect.mat,19,40.8,0.00470202185043378,0.158333333333333,0.00945534195931163,0,0
G0_P2_case_perfect.mat,1,35.6,0.00701053286183913,0.175,0.0280475047080232,0,0
G0_P2_case_perfect.mat,2,49.2,0.00121297357754668,0.178333333333333,0.00201217434233731,0,0
G0_P2_case_perfect.mat,3,49.6,0.00104743641791871,0.179166666666667,0.00144340483718676,0,0
G0_P2_case_perfect.mat,4,44.8,0.00171024693414384,0.175833333333333,0.00278686056013163,0,0
G0_P2_case_perfect.mat,5,44.8,0.00215743201133416,0.173333333333333,0.00286890983510277,0,0
G0_P2_case_perfect.mat,6,44.4,0.000752002071376968,0.165833333333333,0.00175851070697809,0,0
G0_P2_case_perfect.mat,7,33.2,0.0003867046294448,0.168333333333333,0.00073949077806141,0,0
G0_P2_case_perfect.mat,8,32.4,0.000849653036439999,0.159166666666667,0.00117806218741691,0,0
G0_P2_case_perfect.mat,9,43.2,0.00148983056880349,0.179166666666667,0.00256937489976934,0,0
G0_P2_case_perfect.mat,10,43.2,0.000700695399522569,0.17,0.00146167752017058,0,0
G0_P2_case_perfect.mat,11,49.6,0.000969228155963736,0.1825,0.00197082403396538,0,0
G0_P2_case_perfect.mat,12,32.8,0.00134316779058493,0.15,0.00199224443542599,0,0
G0_P2_case_perfect.mat,13,33.2,0.00125019860608506,0.156666666666667,0.00146935235029645,0,0
G0_P2_case_perfect.mat,14,32.4,0.000834838066898476,0.151666666666667,0.00125094728028682,0,0
G0_P2_case_perfect.mat,15,33.6,0.00107714456921531,0.169166666666667,0.00253514195851535,0,0
G0_P2_case_perfect.mat,16,31.2,0.000361321702534651,0.151666666666667,0.00068492351856216,0,0
G0_P2_case_perfect.mat,17,43.6,0.000983571081986518,0.1775,0.00156185036844142,0,0
G0_P2_case_perfect.mat,18,38.8,0.000563828854761896,0.165833333333333,0.00108635634700568,0,0
G0_P3_case_perfect.mat,1,31.2,0.0117432415427368,0.16,0.0459349029666861,0,0
G0_P3_case_perfect.mat,2,44.4,0.00342862155481987,0.164166666666667,0.00814514259392611,0,0
G0_P3_case_perfect.mat,3,38.4,0.0038591931290103,0.154166666666667,0.00794428121033369,0,0
G0_P3_case_perfect.mat,4,44.8,0.00365677122878843,0.163333333333333,0.00792603386894133,0,0
G0_P3_case_perfect.mat,5,44.8,0.00700010291771067,0.161666666666667,0.0119848014469499,0,0
G0_P3_case_perfect.mat,6,33.2,0.00343414967311208,0.158333333333333,0.00850214064848282,0,0
G0_P3_case_perfect.mat,7,31.6,0.00439562787350291,0.14,0.00743539009247671,0,0
G0_P3_case_perfect.mat,8,32,0.00587207278674975,0.141666666666667,0.00887413046234427,0,0
G0_P3_case_perfect.mat,9,31.6,0.00530521852231603,0.151666666666667,0.00910684639830207,0,0
G0_P3_case_perfect.mat,10,32.8,0.0032152194685,0.149166666666667,0.0075491487511235,0,0
G0_P3_case_perfect.mat,11,32.4,0.00431133801847014,0.149166666666667,0.00734863010052816,0,0
G0_P3_case_perfect.mat,12,33.6,0.00565120333427728,0.1475,0.00954429366416314,0,0
G0_P3_case_perfect.mat,13,38.4,0.00269495008928069,0.1575,0.00626574367267884,0,0
G0_P3_case_perfect.mat,14,32.8,0.00426287187637381,0.146666666666667,0.00664587101843624,0,0
G0_P3_case_perfect.mat,15,31.2,0.0064788242005458,0.146666666666667,0.0103009120019381,0,0
