file,segment,rms_acc,rms_vel,damping_ratio,peak_vel,rms_pos,amplitude,zcr,rms,dominant_freq,inc_deg,inc_loc,damp,damp_loc,freq,freq_loc
G0_P5_case_perfect.mat,1,0.179652289486955,0.0517148254873358,-0.010714960306733,0.10064435022201,0.0152610776786125,0.00169058863476728,0.02,0.179652289486955,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,2,0.148712030559922,0.0611724779792829,0.0627441460417218,0.109138549069272,0.0523265320712711,0.00194767525910555,0.0433333333333333,0.148712030559922,32.8,0,0,0,0,0,0
G0_P5_case_perfect.mat,3,0.0510728664540249,0.0614268909684503,0.270221456685018,0.104165769309584,0.0609602757129574,0.00261856100610944,0.0283333333333333,0.0510728664540249,33.6,0,0,0,0,0,0
G0_P5_case_perfect.mat,4,0.048265191623416,0.063332503578397,-0.0206457495403441,0.109658655369418,0.0609003249278332,0.00352771577227652,0.0116666666666667,0.048265191623416,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,5,0.0470210749539433,0.0618634758221271,-0.226057873348362,0.106570150224424,0.0605706493372545,0.00261733543165157,0.00833333333333333,0.0470210749539433,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,6,0.0480780942269971,0.0575949685097316,0.0315230129443283,0.100016325833635,0.05611257033565,0.0018968488500559,0.0166666666666667,0.0480780942269971,32.8,0,0,0,0,0,0
G0_P5_case_perfect.mat,7,0.113431142709098,0.0999631847628228,-0.0286570817489043,0.154143046340411,0.10120217493883,0.00462555426626765,0.0208333333333333,0.113431142709098,33.6,0,0,0,0,0,0
G0_P5_case_perfect.mat,8,0.129438061797217,0.0581956841825208,0.1809559226334,0.0981033312566582,0.0617632018262769,0.00242944625903224,0.0208333333333333,0.129438061797217,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,9,0.0421144242808571,0.0563744231156163,0.00836656058497988,0.0971657991477169,0.0547828161985083,0.000488848653446091,0.00666666666666667,0.0421144242808571,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,10,0.0546148413180009,0.0564444530013397,0.0427875815212586,0.0969215671417109,0.0547391580411736,0.00123248646826222,0.0558333333333333,0.0546148413180009,37.6,0,0,0,0,0,0
G0_P5_case_perfect.mat,11,0.230419424755341,0.0554356717495949,0.295312450480295,0.0926998773521209,0.0558958570768232,0.00118260761466799,0.0708333333333333,0.230419424755341,38.4,0,0,0,0,0,0
G0_P5_case_perfect.mat,12,0.0865849380644871,0.0546291978748668,-0.122012896744293,0.0922999961485507,0.0527863082973601,0.00231680401259541,0.05,0.0865849380644871,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,13,0.0359112909681353,0.0487719753037028,0.0276051907993693,0.0846989375817063,0.0475302636085391,0.00091077887788905,0,0.0359112909681353,38.8,0,0,0,0,0,0
G0_P5_case_perfect.mat,14,0.0445584482863164,0.0473194362838764,-0.0396383653013506,0.0821165777543457,0.0456835496598443,0.00075310393902175,0.03,0.0445584482863164,44.4,0,0,0,0,0,0
G0_P5_case_perfect.mat,15,0.25905703209024,0.0408768575409307,0.00860236858139267,0.0852425201489269,0.0348027603137404,0.00141173869647228,0.0283333333333333,0.25905703209024,32,0,0,0,0,0,0
G1_P5_case13.mat,1,0.157310130533724,0.174177646286855,0.0018665014714144,0.272474662196831,0.188636344389764,0.00247470772994988,0.0266666666666667,0.157310130533724,32.8,0,0,1,4,0,0
G1_P5_case13.mat,2,0.130415353383374,0.158850801516645,0.126410665164265,0.275532362665835,0.155791921525468,0.00201163653372943,0.0166666666666667,0.130415353383374,33.2,0,0,1,4,0,0
G1_P5_case13.mat,3,0.111794962048963,0.159427228786782,0.00790691223068143,0.276667739154511,0.154143854544921,0.00111770406150447,0,0.111794962048963,33.2,0,0,1,4,0,0
G1_P5_case13.mat,4,0.110345133050641,0.157158083512721,-0.0364317880811218,0.272887754121882,0.152121473459059,0.00216325057858913,0,0.110345133050641,33.2,0,0,1,4,0,0
G1_P5_case13.mat,5,0.11127671522237,0.15883514148139,-0.00821361133199192,0.27563953888564,0.153795078293748,0.00207247412946792,0,0.11127671522237,33.2,0,0,1,4,0,0
G1_P5_case13.mat,6,0.113637485256719,0.160312694573178,-0.0081220863707446,0.279326527764281,0.154952277311988,0.00183338875739477,0,0.113637485256719,33.2,0,0,1,4,0,0
G1_P5_case13.mat,7,0.137697909211168,0.139858556584788,0.0112764620409005,0.266153610715674,0.123689184457552,0.00207709484052083,0.02,0.137697909211168,38,0,0,1,4,0,0
G1_P5_case13.mat,8,0.140919556504889,0.171953099741731,-0.0878934682200255,0.29065437579271,0.170935463740572,0.00142574232806499,0.00333333333333333,0.140919556504889,32.4,0,0,1,4,0,0
G1_P5_case13.mat,9,0.110631060065485,0.159108600634583,-0.00265256981223026,0.275289497201029,0.153980975119872,0.000357271736207848,0,0.110631060065485,38.4,0,0,1,4,0,0
G1_P5_case13.mat,10,0.118318815640116,0.160010439605411,0.0119850660230269,0.277972918599792,0.1548365072418,0.000534487146908369,0.00166666666666667,0.118318815640116,39.2,0,0,1,4,0,0
G1_P5_case13.mat,11,0.133686011770224,0.163284310604589,0.0066831619440098,0.284134800298246,0.15727609573469,0.000461008040899927,0.0283333333333333,0.133686011770224,32.4,0,0,1,4,0,0
G1_P5_case13.mat,12,0.203717806224875,0.165737559767958,0.0151963394109747,0.293894729877883,0.156934097157537,0.00400636301660054,0.0133333333333333,0.203717806224875,32,0,0,1,4,0,0
G1_P5_case13.mat,13,0.116157846992492,0.16590112663878,-0.00484992118085822,0.287544669604685,0.161048769782569,0.000869477118305095,0,0.116157846992492,31.2,0,0,1,4,0,0
G1_P5_case13.mat,14,0.118257834220913,0.167871460863192,0.0123400746581374,0.290201488329385,0.162350372499465,0.000785575948615805,0,0.118257834220913,32,0,0,1,4,0,0
G1_P5_case13.mat,15,0.158326177953266,0.177425672300316,0.00475292859551668,0.293669887064772,0.174086721857925,0.00115306037132037,0.0125,0.158326177953266,44.8,0,0,1,4,0,0
G2_P5_case23.mat,1,0.135089483373563,0.0603821937035908,0.0633437243465938,0.107192449658536,0.069476922549684,0.00169127068920717,0.0291666666666667,0.135089483373563,32,0,0,1,5,0,0
G2_P5_case23.mat,2,0.0930974400615321,0.039518845724772,0.0950460828438262,0.0657422821252727,0.0420545001966318,0.00186274258574713,0.0508333333333333,0.0930974400615321,31.6,0,0,1,5,0,0
G2_P5_case23.mat,3,0.033365968148604,0.0354212974993233,0.0929932403844776,0.062094290100926,0.0346745379895699,0.0023324421294111,0.025,0.033365968148604,32.8,0,0,1,5,0,0
G2_P5_case23.mat,4,0.0314235405026277,0.0383410351204502,-0.0291554090991007,0.0650228432982677,0.0378094737476535,0.00270102912590307,0.03,0.0314235405026277,33.2,0,0,1,5,0,0
G2_P5_case23.mat,5,0.0305704101751036,0.0375431874567861,0.0929045603611629,0.0653991722746732,0.035481259800116,0.00228319349605898,0.0166666666666667,0.0305704101751036,33.2,0,0,1,5,0,0
G2_P5_case23.mat,6,0.0308692688734609,0.0379580824266373,0.104841101131306,0.0658993478126684,0.0367238320280594,0.00144887405526861,0.015,0.0308692688734609,33.2,0,0,1,5,0,0
G2_P5_case23.mat,7,0.0893880538894955,0.0239873465469937,-0.0902345794210186,0.0724701102383531,0.0152358101839521,0.00255814384252132,0.0516666666666667,0.0893880538894955,38,0,0,1,5,0,0
G2_P5_case23.mat,8,0.138696922316402,0.034015793645119,0.0930892293496038,0.0600817799391533,0.0310919439739948,0.00248977667503021,0.025,0.138696922316402,32.8,0,0,1,5,0,0
G2_P5_case23.mat,9,0.0281275303791977,0.036914593035203,-0.00366210657928666,0.0641335757524638,0.0356182165465527,0.000500874331614001,0.01,0.0281275303791977,32,0,0,1,5,0,0
G2_P5_case23.mat,10,0.0386329395143766,0.0363317968239119,-0.0443252320100685,0.0655275449551177,0.0347360961391027,0.000789000335914981,0.0375,0.0386329395143766,38.4,0,0,1,5,0,0
G2_P5_case23.mat,11,0.0692471229043042,0.0405541014405228,0.101262534989228,0.074613486140931,0.0386755489375959,0.000582288820539307,0.075,0.0692471229043042,39.2,0,0,1,5,0,0
G2_P5_case23.mat,12,0.100477502637051,0.0428227628262015,-0.085205638636221,0.0748899006369098,0.0404017417914118,0.00178546890594476,0.0541666666666667,0.100477502637051,31.6,0,0,1,5,0,0
G2_P5_case23.mat,13,0.0349022266514981,0.0457584846056388,-0.0175465122893711,0.0784151078292032,0.0448278902366468,0.000795343008329438,0.01,0.0349022266514981,32,0,0,1,5,0,0
G2_P5_case23.mat,14,0.0369205693679753,0.0467804375424468,0.0108076691046467,0.0801297573322819,0.0456054592936008,0.000867707264176652,0.0183333333333333,0.0369205693679753,32.4,0,0,1,5,0,0
G2_P5_case23.mat,15,0.0989777429610904,0.053901952586703,0.00690053533676729,0.078877959499106,0.0560804301139331,0.00158759458203328,0.0258333333333333,0.0989777429610904,31.6,0,0,1,5,0,0
G3_P5_case33.mat,1,0.559161977541015,0.806570470365374,3.12992062338427e-05,1.38199759994926,0.7883943441902,0.000920768224224209,0,0.559161977541015,33.2,0,0,1,6,0,0
G3_P5_case33.mat,2,0.554974871721702,0.800923940325066,0.000414744090770645,1.38471343447854,0.777909004469514,0.000452589136151339,0,0.554974871721702,31.6,0,0,1,6,0,0
