file,segment,rms_acc,rms_vel,damping_ratio,peak_vel,rms_pos,amplitude,zcr,rms,dominant_freq,skewness,kurtosis,inc_deg,inc_loc,damp,damp_loc,freq,freq_loc
G0_P1_case_perfect.mat,1,0.0834320672402322,0.0750726488515397,0.202094712533968,0.11489331612374,0.0674999840634803,0.00433770417716089,0.0104166666666667,0.0834320672402322,40.5,9.70272976419607,135.439209605197,0,0,0,0,0,0
G0_P1_case_perfect.mat,2,0.0451865473671805,0.0457810286166381,-0.11215728215944,0.0797596130175763,0.0354428964759657,0.00294577213676289,0.0208333333333333,0.0451865473671805,42.5,-0.0864263263331792,3.47218791595057,0,0,0,0,0,0
G0_P1_case_perfect.mat,3,0.0454315110692621,0.045781571188487,0.0759507640943729,0.0794877467830995,0.0360694388778578,0.00133581676830122,0.0270833333333333,0.0454315110692621,36,0.328650731839129,3.81728403104502,0,0,0,0,0,0
G0_P1_case_perfect.mat,4,0.0482993825123417,0.0442702643082898,0.431769724256108,0.0784053207190211,0.0330442791042324,0.00176600403786075,0.0354166666666667,0.0482993825123417,31.5,-0.26903982666062,2.88404984049154,0,0,0,0,0,0
G0_P1_case_perfect.mat,5,0.0452795283207022,0.0441335665661808,-0.0185100712032825,0.0765576645434929,0.033799946997668,0.00270612231873388,0.0333333333333333,0.0452795283207022,41.5,-0.126040906602605,2.42369084547479,0,0,0,0,0,0
G0_P1_case_perfect.mat,6,0.0482053496972696,0.0433261025027287,0.340581938581656,0.076098595924059,0.0331908366390457,0.00376388083308684,0.075,0.0482053496972696,41.5,-0.177361886626794,3.65171888108599,0,0,0,0,0,0
G0_P1_case_perfect.mat,7,0.0464901660854093,0.0466463004062222,0.0222129129969122,0.0806064328460392,0.0365066101162882,0.00522897308141275,0.05625,0.0464901660854093,38.5,-0.13099811845917,2.54497949695027,0,0,0,0,0,0
G0_P1_case_perfect.mat,8,0.0438719355343197,0.0459348805824418,-0.038917145266972,0.0788337386636806,0.0354543386836426,0.00274833343563893,0.0229166666666667,0.0438719355343197,38.5,-0.085355425978238,2.7493336390742,0,0,0,0,0,0
G0_P1_case_perfect.mat,9,0.0434367307876784,0.0455708593468774,0.0619935558193653,0.079321618189814,0.0355745053984666,0.00404830164863788,0.0145833333333333,0.0434367307876784,37,-0.0897460837131723,2.99626946192382,0,0,0,0,0,0
G0_P1_case_perfect.mat,10,0.0433620274959596,0.0447169784103339,0.0228080674140898,0.0780481794384362,0.0340812397988556,0.00190335178252124,0.0270833333333333,0.0433620274959596,32.5,-0.335633881735777,6.41367303222776,0,0,0,0,0,0
G0_P1_case_perfect.mat,11,0.0664137586417783,0.0443036157213205,0.0413407848565987,0.0769496755251977,0.0354649926969024,0.00344378084958241,0.0697916666666667,0.0664137586417783,36.5,-0.852428144830209,9.88002659132185,0,0,0,0,0,0
G0_P1_case_perfect.mat,12,0.060739597674602,0.0473261469771846,0.0643878222899946,0.0799202317853665,0.0383310427742294,0.00305567337620943,0.0510416666666667,0.060739597674602,39.5,1.71411835005998,14.0415029558547,0,0,0,0,0,0
G0_P1_case_perfect.mat,13,0.0702172956621182,0.0475133058179991,0.136794459378659,0.0784167085073157,0.036020166663476,0.00341339267106989,0.05625,0.0702172956621182,41,0.0520589150604795,6.97993197541096,0,0,0,0,0,0
G0_P1_case_perfect.mat,14,0.0516100882579165,0.0494514781099,-0.0238023453585837,0.0834981685505803,0.0390507421209903,0.00259745428397024,0.0666666666666667,0.0516100882579165,39,0.00144168067253424,3.63397562728492,0,0,0,0,0,0
G0_P1_case_perfect.mat,15,0.0445415662358197,0.0465311369588101,0.0219138586627216,0.0799404749577481,0.036241936532547,0.00267730738112836,0.025,0.0445415662358197,34.5,0.0366553844428544,2.91333288550421,0,0,0,0,0,0
G0_P1_case_perfect.mat,16,0.0432939815068366,0.045371892984717,-0.02615892972023,0.0786839921915127,0.0353503534455562,0.00224175634281643,0.0145833333333333,0.0432939815068366,38.5,0.112571610109943,3.19593555303357,0,0,0,0,0,0
G0_P1_case_perfect.mat,17,0.0467695049167512,0.0464238740519631,-0.144923142059859,0.0803264062851549,0.0361277885398587,0.00359525098989274,0.05,0.0467695049167512,38.5,-0.137303189057461,2.92237596738811,0,0,0,0,0,0
G0_P1_case_perfect.mat,18,0.0453102545148752,0.045376228163185,-0.0121275913169265,0.0782949413631973,0.0354287585019776,0.00357502149926651,0.046875,0.0453102545148752,38.5,-0.188876907119365,3.07844945624515,0,0,0,0,0,0
G0_P1_case_perfect.mat,19,0.0508890273211917,0.045927680752782,-0.0543555684599498,0.0792369171089714,0.0359016795413621,0.00911402477948147,0.075,0.0508890273211917,41,0.0504451500676792,4.25735909461283,0,0,0,0,0,0
G0_P1_case_perfect.mat,20,0.0424454326332248,0.0454368630840135,0.0415397053048071,0.079768520293149,0.0350061666806803,0.00105372174063081,0.00416666666666667,0.0424454326332248,37.5,-0.338015129223139,3.43591279588419,0,0,0,0,0,0
G0_P1_case_perfect.mat,21,0.0413487166044892,0.0449453800524318,-0.016244773945966,0.0764482236723342,0.0352501372230837,0.00150790638769107,0.0104166666666667,0.0413487166044892,32.5,-0.136200625458704,3.47914566788651,0,0,0,0,0,0
G0_P1_case_perfect.mat,22,0.052658772251791,0.0465209289243753,0.0241658955316232,0.0798804860726192,0.0360460019953097,0.0016835033518916,0.0354166666666667,0.052658772251791,34.5,-0.162316597533755,4.57222134385707,0,0,0,0,0,0
G0_P1_case_perfect.mat,23,0.0448605990345636,0.046901072172928,0.419038932746452,0.0804202982668559,0.0358412212150204,0.00187402345929633,0.0145833333333333,0.0448605990345636,33,-0.486311302143851,3.92008915273178,0,0,0,0,0,0
G0_P2_case_perfect.mat,1,0.238165323433828,0.249955566736316,0.295426103058455,0.435479231583683,0.190283123874074,0.0043069564161131,0.003125,0.238165323433828,35,-5.28903502640333,80.7247585579387,0,0,0,0,0,0
G0_P2_case_perfect.mat,2,0.222039245718618,0.256213583619735,0.00318643353726089,0.443278534486298,0.198564310062325,0.000755181228913387,0,0.222039245718618,48.5,-0.0160970699101156,3.18356332693572,0,0,0,0,0,0
G0_P2_case_perfect.mat,3,0.223146101253435,0.256723956615626,-0.000794715890187346,0.445495275637904,0.198365233181796,0.000361987817176364,0,0.223146101253435,32.5,0.144134247231123,2.86700097568491,0,0,0,0,0,0
G0_P2_case_perfect.mat,4,0.221046080861385,0.254260539658062,0.00213620213669037,0.441342978059835,0.19656793194379,0.000431121754183353,0,0.221046080861385,45.5,0.202598564507208,2.91510023996019,0,0,0,0,0,0
G0_P2_case_perfect.mat,5,0.221054265000808,0.254865674732726,0.00234221089735192,0.441294544469507,0.197420251387238,0.00107979746851428,0,0.221054265000808,45,0.187228537619185,3.07899636490368,0,0,0,0,0,0
G0_P2_case_perfect.mat,6,0.220052226466338,0.253042772252674,0.0188622308323743,0.439193975107623,0.19592453443734,0.00123564109028138,0,0.220052226466338,44.5,-0.134702984948989,2.64866996053888,0,0,0,0,0,0
G0_P2_case_perfect.mat,7,0.221155395867253,0.25496542343379,0.0137902096952487,0.441605429669924,0.197813740698679,0.000581191100093204,0,0.221155395867253,33,0.102316716421482,2.81899023727888,0,0,0,0,0,0
G0_P2_case_perfect.mat,8,0.223170226566449,0.257121641292611,0.00187963217962957,0.445651328989745,0.199100815543726,0.00051468568573853,0,0.223170226566449,44.5,0.0953244930560098,3.39127200963383,0,0,0,0,0,0
G0_P2_case_perfect.mat,9,0.222815337884704,0.256740190975981,-0.00341060405903892,0.444918162501056,0.199032305845469,0.000353557690246153,0,0.222815337884704,33,-0.45382230285261,3.34200883716056,0,0,0,0,0,0
G0_P2_case_perfect.mat,10,0.22178652607715,0.255045513117057,0.00107662089621647,0.44281610346026,0.196899906547526,0.00038669449988984,0,0.22178652607715,32.5,-0.0506022094724842,3.25204101752881,0,0,0,0,0,0
G0_P2_case_perfect.mat,11,0.219820970757421,0.25380613083005,0.00492903083870375,0.438771452351832,0.196717056759746,0.000699859054905935,0,0.219820970757421,44.5,-0.361954962549434,2.88981140920833,0,0,0,0,0,0
G0_P2_case_perfect.mat,12,0.222392417359691,0.257163599349955,0.00442432976357717,0.443978242745791,0.199313087325919,0.000780961619227113,0,0.222392417359691,43.5,-0.0167592176915046,2.56866050798087,0,0,0,0,0,0
G0_P2_case_perfect.mat,13,0.22092333946981,0.254327813804988,-0.00662120110377172,0.441074895650473,0.196910265720355,0.000327253149968987,0,0.22092333946981,39,-0.0728695735956587,2.45577664748064,0,0,0,0,0,0
G0_P2_case_perfect.mat,14,0.222239203095217,0.256534208501797,-0.0163512472298854,0.443694429869267,0.199019947251083,0.000540061853496549,0,0.222239203095217,49.5,0.183939374878297,2.93541498666751,0,0,0,0,0,0
G0_P2_case_perfect.mat,15,0.221407836113252,0.254514819837383,-0.0152321134775495,0.442005247259956,0.1965632989514,0.000906494285324695,0,0.221407836113252,33,-0.118308485336709,3.31358402250125,0,0,0,0,0,0
G0_P2_case_perfect.mat,16,0.221045609659814,0.255005145524214,-0.00759335631857127,0.44137850368939,0.197443639338025,0.000745281843471386,0,0.221045609659814,33,0.0265483207310718,2.4482480825786,0,0,0,0,0,0
G0_P2_case_perfect.mat,17,0.221785651056776,0.255791240548578,0.012343440363069,0.442818389386546,0.198382833164745,0.000320022215737183,0,0.221785651056776,45,0.0493017180583488,3.10279004848692,0,0,0,0,0,0
G0_P2_case_perfect.mat,18,0.222378462804066,0.256606765862408,0.00166443895431445,0.443951101913397,0.198389527753654,0.000944916560703381,0,0.222378462804066,33,-0.015924555800594,2.83950502848385,0,0,0,0,0,0
G0_P2_case_perfect.mat,19,0.220627588121528,0.255102954780155,0.0228196834743648,0.44036841945199,0.197921702161046,0.000609648340702142,0,0.220627588121528,44,0.13827634221735,3.23545873091934,0,0,0,0,0,0
G0_P2_case_perfect.mat,20,0.221141870556112,0.254443914013107,0.00629230576132634,0.441516878883034,0.196355117719342,0.000180962671617518,0,0.221141870556112,31,-0.150542836144911,2.84684293321058,0,0,0,0,0,0
G0_P2_case_perfect.mat,21,0.221853983349445,0.255677974460292,0.00390459101137132,0.442988695284751,0.197998494442066,0.000577670503654817,0,0.221853983349445,43,-0.0164717302481439,3.2377587722253,0,0,0,0,0,0
G0_P2_case_perfect.mat,22,0.223052609759233,0.257715485139363,-0.0148219510961458,0.444893999880063,0.200243133187786,0.000314763602440989,0,0.223052609759233,39,0.020028689695917,2.36109549433175,0,0,0,0,0,0
G0_P2_case_perfect.mat,23,0.220795125696353,0.254417244633895,0.0119216180989483,0.440832667400046,0.197008873752722,0.000318741342017135,0,0.220795125696353,32.5,0.246864674727266,3.16474497949016,0,0,0,0,0,0
G0_P3_case_perfect.mat,1,0.487493492757835,0.540199750443444,0.0155417952613581,0.938432621493388,0.414684173185016,0.00727659518030841,0.00208333333333333,0.487493492757835,30.5,-3.40111832898295,35.2223044213694,0,0,0,0,0,0
