file,segment,rms_acc,rms_vel,damping_ratio,peak_vel,rms_pos,amplitude,zcr,rms,dominant_freq,inc_deg,inc_loc,damp,damp_loc,freq,freq_loc
G0_P1_case_perfect.mat,1,0.0779200073588799,0.0874818828490436,0.202094712533968,0.135551984059468,0.0972586808344821,0.00452072938967412,0.02,0.0779200073588799,41.6,0,0,0,0,0,0
G0_P1_case_perfect.mat,2,0.0452870693696264,0.0573940570553264,-0.158894186282236,0.0995836972751448,0.0548537011346239,0.00301035793333636,0.0216666666666667,0.0452870693696264,42.4,0,0,0,0,0,0
G0_P1_case_perfect.mat,3,0.0462872458049401,0.0551248463617893,-0.238900492366844,0.0967995190788964,0.0528754504670417,0.00160576821287776,0.03,0.0462872458049401,32.8,0,0,0,0,0,0
G0_P1_case_perfect.mat,4,0.045770103667089,0.0568108222829544,0.041939010250582,0.0976436414777743,0.0555730342986638,0.00256836287782134,0.03,0.045770103667089,41.6,0,0,0,0,0,0
G0_P1_case_perfect.mat,5,0.0479576340801088,0.054939114309435,0.340581938581656,0.0965380886761965,0.0523507766281015,0.00299496841420791,0.0733333333333333,0.0479576340801088,41.6,0,0,0,0,0,0
G0_P1_case_perfect.mat,6,0.0455949889231304,0.0576390761246608,0.18191332383861,0.0992711590335371,0.0561348081620884,0.00447863765410694,0.0466666666666667,0.0455949889231304,38.8,0,0,0,0,0,0
G0_P1_case_perfect.mat,7,0.0424533546994086,0.0575885479832396,0.0828858719270638,0.0978021663625348,0.0563127214664582,0.0033871217862154,0.0116666666666667,0.0424533546994086,37.2,0,0,0,0,0,0
G0_P1_case_perfect.mat,8,0.0442759235822303,0.0574848365189264,-0.0364068490430702,0.099356460647338,0.0559054336451169,0.0013709187237648,0.025,0.0442759235822303,32.4,0,0,0,0,0,0
G0_P1_case_perfect.mat,9,0.0724865751972806,0.0561914142057604,0.0413407848565987,0.102792386357444,0.0547404827209925,0.0043812158280736,0.065,0.0724865751972806,32.8,0,0,0,0,0,0
G0_P1_case_perfect.mat,10,0.055392715035986,0.051593091190694,-0.23280444281146,0.101132995711944,0.0486034852780661,0.002421283388228,0.0491666666666667,0.055392715035986,38.8,0,0,0,0,0,0
G0_P1_case_perfect.mat,11,0.0605044247934739,0.050661007297639,-0.217781883596251,0.0905240864288657,0.0468993575943923,0.00332927738914432,0.0641666666666667,0.0605044247934739,38.8,0,0,0,0,0,0
G0_P1_case_perfect.mat,12,0.0464655111008969,0.0591088174562897,0.239994971150164,0.101090719660291,0.0582876624373465,0.00222931367480785,0.0366666666666667,0.0464655111008969,33.2,0,0,0,0,0,0
G0_P1_case_perfect.mat,13,0.043934723129003,0.056874312176825,-0.02615892972023,0.0986341786983277,0.0551611517956071,0.00240573386688643,0.0266666666666667,0.043934723129003,33.2,0,0,0,0,0,0
G0_P1_case_perfect.mat,14,0.0467053355956766,0.0581576557761628,0.0111556274636313,0.10007839790495,0.056665635600801,0.0039836437460049,0.0483333333333333,0.0467053355956766,38.8,0,0,0,0,0,0
G0_P1_case_perfect.mat,15,0.0499071798478829,0.0567140173785245,-0.0746438701309238,0.0982130437720428,0.0546254031109089,0.00582566454497493,0.0733333333333333,0.0499071798478829,41.2,0,0,0,0,0,0
G0_P1_case_perfect.mat,16,0.0424557544257444,0.0568772896875319,0.133170796796975,0.0995687743439895,0.0549447004948087,0.00118156643918632,0.00416666666666667,0.0424557544257444,37.6,0,0,0,0,0,0
G0_P1_case_perfect.mat,17,0.0419419921297609,0.0558117780074459,-0.016244773945966,0.0964207485242949,0.0546475078212143,0.00175574025389284,0.0116666666666667,0.0419419921297609,32.4,0,0,0,0,0,0
G0_P1_case_perfect.mat,18,0.0522060334567732,0.0575290647379127,-0.114086936979525,0.101180711002626,0.0558682305243227,0.00165191408575593,0.0316666666666667,0.0522060334567732,38.4,0,0,0,0,0,0
G0_P1_case_perfect.mat,19,0.0438468779009176,0.0565832830565152,-0.0293922556520906,0.0986920700498874,0.0548305381732471,0.00237371119669207,0.0183333333333333,0.0438468779009176,40.8,0,0,0,0,0,0
G0_P2_case_perfect.mat,1,0.235022743342637,0.313807094366428,0.295426103058455,0.546375857640332,0.299827068541263,0.00350443638692837,0.0025,0.235022743342637,35.6,0,0,0,0,0,0
G0_P2_case_perfect.mat,2,0.221928439973446,0.320179032685274,0.00242494957658013,0.553981571761685,0.310137738144384,0.000613507021518751,0,0.221928439973446,49.2,0,0,0,0,0,0
G0_P2_case_perfect.mat,3,0.222076805188845,0.320935802997281,-0.00936709653649895,0.554353087968534,0.311587696257505,0.000516970442609328,0,0.222076805188845,49.6,0,0,0,0,0,0
G0_P2_case_perfect.mat,4,0.221426558784944,0.319483542717038,-0.00427929650180179,0.552715354992223,0.30966503372276,0.000886772822331262,0,0.221426558784944,44.8,0,0,0,0,0,0
G0_P2_case_perfect.mat,5,0.220592593809506,0.316977831896805,0.0188622308323743,0.550487255381147,0.306398010562583,0.00104624200842765,0,0.220592593809506,44.8,0,0,0,0,0,0
G0_P2_case_perfect.mat,6,0.221451744212126,0.318790400293156,-0.0033828016881849,0.552893283645945,0.307877677468324,0.000367762386723186,0,0.221451744212126,44.4,0,0,0,0,0,0
G0_P2_case_perfect.mat,7,0.222854168711113,0.322026838003795,-0.0024033192290291,0.556361410926357,0.311741384669758,0.00018307418890186,0,0.222854168711113,33.2,0,0,0,0,0,0
G0_P2_case_perfect.mat,8,0.222290160831487,0.320099778629709,0.00140655377902891,0.554899187427266,0.30981418015377,0.000431506455017809,0,0.222290160831487,32.4,0,0,0,0,0,0
G0_P2_case_perfect.mat,9,0.220788610090054,0.317293323254954,0.00492903083870375,0.551012833124594,0.307259549451521,0.000731469116706718,0,0.220788610090054,43.2,0,0,0,0,0,0
