file,segment,rms_acc,rms_vel,damping_ratio,peak_vel,rms_pos,amplitude,zcr,rms,dominant_freq,inc_deg,inc_loc,damp,damp_loc,freq,freq_loc
G0_P5_case_perfect.mat,1,0.179652289486955,0.0517148254873358,-0.010714960306733,0.10064435022201,0.0152610776786125,0.00169058863476728,0.02,0.179652289486955,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,2,0.148712030559922,0.0611724779792829,0.0627441460417218,0.109138549069272,0.0523265320712711,0.00194767525910555,0.0433333333333333,0.148712030559922,32.8,0,0,0,0,0,0
G0_P5_case_perfect.mat,3,0.0510728664540249,0.0614268909684503,0.270221456685018,0.104165769309584,0.0609602757129574,0.00261856100610944,0.0283333333333333,0.0510728664540249,33.6,0,0,0,0,0,0
G0_P5_case_perfect.mat,4,0.048265191623416,0.063332503578397,-0.0206457495403441,0.109658655369418,0.0609003249278332,0.00352771577227652,0.0116666666666667,0.048265191623416,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,5,0.0470210749539433,0.0618634758221271,-0.226057873348362,0.106570150224424,0.0605706493372545,0.00261733543165157,0.00833333333333333,0.0470210749539433,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,6,0.0480780942269971,0.0575949685097316,0.0315230129443283,0.100016325833635,0.05611257033565,0.0018968488500559,0.0166666666666667,0.0480780942269971,32.8,0,0,0,0,0,0
G0_P5_case_perfect.mat,7,0.113431142709098,0.0999631847628228,-0.0286570817489043,0.154143046340411,0.10120217493883,0.00462555426626765,0.0208333333333333,0.113431142709098,33.6,0,0,0,0,0,0
G0_P5_case_perfect.mat,8,0.129438061797217,0.0581956841825208,0.1809559226334,0.0981033312566582,0.0617632018262769,0.00242944625903224,0.0208333333333333,0.129438061797217,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,9,0.0421144242808571,0.0563744231156163,0.00836656058497988,0.0971657991477169,0.0547828161985083,0.000488848653446091,0.00666666666666667,0.0421144242808571,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,10,0.0546148413180009,0.0564444530013397,0.0427875815212586,0.0969215671417109,0.0547391580411736,0.00123248646826222,0.0558333333333333,0.0546148413180009,37.6,0,0,0,0,0,0
G0_P5_case_perfect.mat,11,0.230419424755341,0.0554356717495949,0.295312450480295,0.0926998773521209,0.0558958570768232,0.00118260761466799,0.0708333333333333,0.230419424755341,38.4,0,0,0,0,0,0
G0_P5_case_perfect.mat,12,0.0865849380644871,0.0546291978748668,-0.122012896744293,0.0922999961485507,0.0527863082973601,0.00231680401259541,0.05,0.0865849380644871,33.2,0,0,0,0,0,0
G0_P5_case_perfect.mat,13,0.0359112909681353,0.0487719753037028,0.0276051907993693,0.0846989375817063,0.0475302636085391,0.00091077887788905,0,0.0359112909681353,38.8,0,0,0,0,0,0
G0_P5_case_perfect.mat,14,0.0445584482863164,0.0473194362838764,-0.0396383653013506,0.0821165777543457,0.0456835496598443,0.00075310393902175,0.03,0.0445584482863164,44.4,0,0,0,0,0,0
G0_P5_case_perfect.mat,15,0.25905703209024,0.0408768575409307,0.00860236858139267,0.0852425201489269,0.0348027603137404,0.00141173869647228,0.0283333333333333,0.25905703209024,32,0,0,0,0,0,0
G1_P5_case12.mat,1,0.15563700971736,0.147923658634659,0.157648167225346,0.240051659275413,0.161990697588223,0.00161365988202573,0.025,0.15563700971736,32.4,1,4,0,0,0,0
G1_P5_case12.mat,2,0.10973098046151,0.138260521343286,0.030512951009625,0.235980558012192,0.138300739614056,0.00115953240564811,0.0133333333333333,0.10973098046151,32,1,4,0,0,0,0
G1_P5_case12.mat,3,0.0958726817494993,0.136673822415457,-0.050435761470568,0.236335277572162,0.132961298346837,0.00108163382893051,0,0.0958726817494993,32.8,1,4,0,0,0,0
G1_P5_case12.mat,4,0.0961843491319081,0.138149741352518,-0.000952085994211387,0.238179281715081,0.134007786540928,0.00113570571654916,0,0.0961843491319081,50,1,4,0,0,0,0
G1_P5_case12.mat,5,0.0961250150478468,0.137298016507592,0.0112268343733691,0.237761711298643,0.132655817505232,0.00112580606160071,0,0.0961250150478468,33.2,1,4,0,0,0,0
G1_P5_case12.mat,6,0.0953414182279392,0.136022475474064,0.0156834914236714,0.233947958967544,0.131147000799674,0.000851318279454797,0,0.0953414182279392,33.6,1,4,0,0,0,0
G1_P5_case12.mat,7,0.158865819603876,0.128593532516704,-0.08801924188878,0.245155353169239,0.108877403328121,0.00247413968346351,0.025,0.158865819603876,32.4,1,4,0,0,0,0
G1_P5_case12.mat,8,0.0946349043514143,0.136459719469751,0.0521210465361998,0.235875925108805,0.132322087153008,0.000208640436772126,0,0.0946349043514143,31.2,1,4,0,0,0,0
G1_P5_case12.mat,9,0.0953147316539622,0.136520612149823,-0.000465466434212659,0.236936253409382,0.131956321503603,0.000706578030234238,0,0.0953147316539622,38.8,1,4,0,0,0,0
G1_P5_case12.mat,10,0.0992653884979957,0.137854104475907,0.0279864663784511,0.238505559266157,0.133593950562193,0.00033985379884392,0,0.0992653884979957,38.8,1,4,0,0,0,0
G1_P5_case12.mat,11,0.11199872613276,0.142147014063448,0.0103988493090343,0.251539226204116,0.13738214942274,0.000703349566187316,0.01,0.11199872613276,33.2,1,4,0,0,0,0
G1_P5_case12.mat,12,0.184927239361036,0.13219995986457,-0.0790718489525975,0.23540395047665,0.119343311013689,0.00164278156202625,0.0233333333333333,0.184927239361036,33.2,1,4,0,0,0,0
G1_P5_case12.mat,13,0.0990672360826792,0.140739195193119,0.000834297152512489,0.245411668088591,0.135825739576573,0.00066669333280889,0,0.0990672360826792,28.4,1,4,0,0,0,0
G1_P5_case12.mat,14,0.101788449221733,0.143984017331768,-0.000576736477462025,0.249569645248293,0.139184232780957,0.000392462549039616,0.00166666666666667,0.101788449221733,30.8,1,4,0,0,0,0
G1_P5_case12.mat,15,0.142371337989015,0.154477248748527,0.00467950808108923,0.26635107694908,0.154498571022471,0.00133685304133823,0.0233333333333333,0.142371337989015,31.2,1,4,0,0,0,0
G1_P5_case15.mat,1,0.650855580910366,0.942667917151244,0.00179860806899748,1.62056875862174,0.919000750541347,0.00138570227568974,0,0.650855580910366,32.4,4,4,0,0,30,6
G1_P5_case15.mat,2,0.648384506316708,0.935904066769095,0.00403834390303979,1.61790046769379,0.907164420059044,0.00254216812125082,0,0.648384506316708,30.4,4,4,0,0,30,6
G1_P5_case15.mat,3,0.650535983499913,0.938780998956098,-0.00619510215788019,1.62478717194461,0.90880664481228,0.00133308944841782,0,0.650535983499913,32,4,4,0,0,30,6
G1_P5_case15.mat,4,0.650638099686743,0.933496815360648,-0.00115892284709493,1.62117956145435,0.90565164074305,0.004348932601278,0,0.650638099686743,30,4,4,0,0,30,6
G1_P5_case15.mat,5,0.650124227310285,0.936984497911379,0.0189325657868586,1.61797947201593,0.908268739290803,0.00637642394369791,0,0.650124227310285,32.4,4,4,0,0,30,6
G1_P5_case15.mat,6,0.646431160278862,0.928726134765261,-0.0059362321689379,1.61053823343119,0.898733425152373,0.00575891066775673,0,0.646431160278862,30,4,4,0,0,30,6
G1_P5_case15.mat,7,0.643306317986568,0.919310152589262,-0.00138001418911663,1.60302628958317,0.888491442128461,0.0032540109777507,0,0.643306317986568,30,4,4,0,0,30,6
G1_P5_case15.mat,8,0.652992447250733,0.942536956692606,-0.00232115239558421,1.62922071135323,0.914015101296343,0.00123756533545811,0,0.652992447250733,31.2,4,4,0,0,30,6
G1_P5_case15.mat,9,0.650079533122511,0.937485459265852,-6.43733737052058e-05,1.6238166305859,0.90709732511984,0.000129048073422506,0,0.650079533122511,31.6,4,4,0,0,30,6
G1_P5_case15.mat,10,0.649905508272765,0.937745852120626,-0.00452644334430488,1.62330995856485,0.90771322814847,0.000224231382917554,0,0.649905508272765,33.2,4,4,0,0,30,6
G1_P5_case15.mat,11,0.650816463899482,0.93869551428745,0.00130655684479123,1.6250320899789,0.908773262119346,0.000175103501664003,0,0.650816463899482,38.8,4,4,0,0,30,6
G1_P5_case15.mat,12,0.650994236669907,0.875087227133693,0.00125680789916498,1.48085264293315,0.873566104789429,0.00272350571578455,0.00666666666666667,0.650994236669907,39.2,4,4,0,0,30,6
G1_P5_case15.mat,13,0.649867405341551,0.937042403071735,-0.00112814165732259,1.62322229452299,0.906707922431407,0.000364810220471746,0,0.649867405341551,32.4,4,4,0,0,30,6
G1_P5_case15.mat,14,0.650595900849155,0.938312796275092,0.00115377014999692,1.62501212475473,0.908075347212705,0.00031531028404743,0,0.650595900849155,32.4,4,4,0,0,30,6
G1_P5_case15.mat,15,0.650040197054118,0.93973367667717,0.0002705387098767,1.62163674866246,0.910578845576862,0.000558450396122855,0,0.650040197054118,33.6,4,4,0,0,30,6
G2_P5_case22.mat,1,0.156963961452319,0.0886230194763272,0.00540051839451765,0.179833934374481,0.0541859028070007,0.00196807936502202,0.0216666666666667,0.156963961452319,32.4,2,5,0,0,0,0
G2_P5_case22.mat,2,0.115553120669343,0.10588317591842,-0.0234467086269327,0.188626542521468,0.0989993416695833,0.00321552520784627,0.0416666666666667,0.115553120669343,32.8,2,5,0,0,0,0
G2_P5_case22.mat,3,0.0783393076962231,0.107494461380486,-0.0905803194487761,0.1870390485213,0.103215425730044,0.0020953714185962,0.00166666666666667,0.0783393076962231,33.2,2,5,0,0,0,0
