file,segment,rms_acc,peak_acc,rms_vel,peak_vel,rms_pos,peak_pos,zcr,energy_decay_rate,damping_ratio,dominant_freq,inc_deg,inc_loc,damp,damp_loc
G0_P5_case_perfect.mat,1,0.188105495937964,0.645079117406391,0.0343671613810675,0.0809796320432315,0.0121383712980817,0.0230613477699617,0.01875,0.00475442909592719,-0.010714960306733,0.5,0,0,0,0
G0_P5_case_perfect.mat,2,0.163366392403319,0.523699867164848,0.0387240021910596,0.0823994416523749,0.0275641815882152,0.0647893743189223,0.0364583333333333,0.00440289856954632,-0.000382732573808351,7,0,0,0,0
G0_P5_case_perfect.mat,3,0.0862634368085503,0.330847049241777,0.0493144223609807,0.0857299013933625,0.0373733025355773,0.0843642121430889,0.0385416666666667,0.00116371157094944,-0.0955573876707296,0,0,0,0,0
G0_P5_case_perfect.mat,4,0.047640107834344,0.113682530975933,0.0464707789366816,0.0812548325986303,0.03656053285937,0.0810997363756146,0.0208333333333333,0.000321916017689889,0.425461251524179,0,0,0,0,0
G0_P5_case_perfect.mat,5,0.0487545718713812,0.118028409441756,0.0514964221416296,0.0885835052338475,0.0400986135136143,0.0892348584643044,0.0145833333333333,0.000325547250569039,0.0383841225631383,0,0,0,0,0
G0_P5_case_perfect.mat,6,0.0468381620819486,0.0867556526392811,0.0498531820894702,0.0845591885238191,0.0390728095506141,0.0866623438602771,0.0104166666666667,0.000304892322786805,-0.226057873348362,0,0,0,0,0
G0_P5_case_perfect.mat,7,0.045756032061053,0.0964980911987821,0.0481102448442238,0.0821278921308619,0.0380125946238362,0.0839338772116681,0.00625,0.000277455442447709,0.0616936120850629,0,0,0,0,0
G0_P5_case_perfect.mat,8,0.0705244850187715,0.226431018294445,0.0513216965424348,0.107903515504066,0.0363171444356613,0.0854931068421953,0.0208333333333333,0.00075437681045736,-0.278068150102024,0,0,0,0,0
G0_P5_case_perfect.mat,9,0.169970539827999,0.886786660999441,0.0617178425498984,0.0873545562183665,0.064652899544274,0.115101807267442,0.0270833333333333,0.00459706594434828,-0.0322798602632512,0.5,0,0,0,0
G0_P5_case_perfect.mat,10,0.0672906789367917,0.315133353678886,0.0404657939436798,0.0728481108942216,0.0285202404059288,0.0666955839652516,0.01875,0.00118180065342624,0.112780748246884,0,0,0,0,0
G0_P5_case_perfect.mat,11,0.0429132848528414,0.146891523047019,0.0453261993370095,0.078537432564377,0.0350970649551845,0.0784092684798937,0.00833333333333333,0.000191853093614606,0.00836656058497988,0,0,0,0,0
G0_P5_case_perfect.mat,12,0.0527681809279717,0.134847592945678,0.0442662533921512,0.0770751002447408,0.0339846491303842,0.076233082065402,0.04375,0.000652411936615417,0.0384232720228677,0,0,0,0,0
G0_P5_case_perfect.mat,13,0.124345211343362,0.442406203769701,0.0451049741802902,0.0800484019699312,0.0349522139356525,0.0781254635535647,0.0625,0.00477636688893764,0.186936481317222,18.5,0,0,0,0
G0_P5_case_perfect.mat,14,0.236967510859878,0.627847172718307,0.0414402165939051,0.0716147285776414,0.0338036317580569,0.0737442099958363,0.0729166666666667,0.018155354452086,-0.000891699086058322,19.5,0,0,0,0
G0_P5_case_perfect.mat,15,0.0737680270420711,0.443475011243019,0.0447917823345345,0.0745776285775801,0.0351393855645836,0.0777961501032622,0.0416666666666667,0.00129240852680774,0.0537104430133558,0,0,0,0,0
G0_P5_case_perfect.mat,16,0.0356566377017155,0.0819371118291869,0.0389535620860361,0.0669655488600426,0.0306011524555074,0.0678318683962916,0,0.000180300838695572,0.0276051907993693,0,0,0,0,0
G0_P5_case_perfect.mat,17,0.040400218551017,0.119620638768213,0.0387357149385614,0.0661777794175634,0.0306950343940672,0.067706147477605,0.0229166666666667,0.000272183904963744,-0.0221281460957534,0,0,0,0,0
G0_P5_case_perfect.mat,18,0.0582226234290853,0.307859831058083,0.0382764873598537,0.0648634800107347,0.0302337210468711,0.0667474561074194,0.0291666666666667,0.000771406240675136,-0.0250169198402522,0,0,0,0,0
G0_P5_case_perfect.mat,19,0.335360817751981,1,0.0327528125507768,0.0576560062616491,0.0158994497659155,0.039171232893049,0.0302083333333333,0.0141510914910613,0.147252809467859,8.5,0,0,0,0
G1_P5_case12.mat,1,0.161502799695127,0.44950997616902,0.125444304833589,0.187767619935572,0.112951970317834,0.229630743898495,0.0270833333333333,0.00279064104884972,0.157648167225346,4,1,4,0,0
